itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:25398,?,1,1,23027,Merchant,Onissan,1624603443,Vendor
i:24899:-5,?,1,1,45167,Merchant,Onissan,1624603445,Vendor
i:27722,?,1,1,18673,Merchant,Onissan,1624603446,Vendor
i:25421,Gnarled Claw,1,1,1325,Merchant,Onissan,1624603448,Vendor
i:25418,Razor Sharp Fang,2,2,1185,Merchant,Onissan,1624603448,Vendor
i:25341,?,1,1,3763,Merchant,Onissan,1624603450,Vendor
i:24977:-36,?,1,1,22081,Merchant,Onissan,1624603451,Vendor
i:21877,Netherweave Cloth,15,15,800,Merchant,Onissan,1624603489,Vendor
i:29799,?,2,2,1185,Merchant,Onissan,1624603490,Vendor
i:24507,Elemental Shard,16,16,870,Merchant,Alfakenybody,1624665700,Vendor
i:24508,Elemental Fragment,13,26,1185,Merchant,Alfakenybody,1624665700,Vendor
i:24189,Crystalline Fragments,20,20,1500,Merchant,Alfakenybody,1624665706,Vendor
i:24510,?,4,4,990,Merchant,Alfakenybody,1624665707,Vendor
i:7080,Essence of Water,1,1,400,Merchant,Alfakenybody,1624665714,Vendor
i:24511,Primordial Essence,6,6,1325,Merchant,Alfakenybody,1624665721,Vendor
i:117,Tough Jerky,4,4,1,Merchant,Alfakenybody,1624665752,Vendor
i:30810,Sunfury Signet,6,6,200,Merchant,Onissan,1624669066,Vendor
i:25418,Razor Sharp Fang,2,2,1185,Merchant,Onissan,1624669069,Vendor
i:25421,Gnarled Claw,1,1,1325,Merchant,Onissan,1624669072,Vendor
i:25401,?,1,2,18626,Merchant,Onissan,1624669074,Vendor
i:18222,?,3,3,3070,Merchant,Onissan,1624669075,Vendor
i:22577,Mote of Shadow,2,2,400,Merchant,Onissan,1624669075,Vendor
i:25426,Brilliant Feather,4,4,1185,Merchant,Onissan,1624669076,Vendor
i:25397,?,1,1,18352,Merchant,Onissan,1624669102,Vendor
i:27854,Smoked Talbuk Venison,1,1,280,Merchant,Onissan,1624669103,Vendor
i:28338,?,1,1,35918,Merchant,Onissan,1624669108,Vendor
i:18224,?,2,2,1728,Merchant,Onissan,1624669109,Vendor
i:24663:-38,?,1,1,27597,Merchant,Onissan,1624669111,Vendor
i:28324,?,1,1,32296,Merchant,Onissan,1624669114,Vendor
i:21877,Netherweave Cloth,15,15,800,Merchant,Onissan,1624669141,Vendor
i:18223,Serrated Petal,3,3,6142,Merchant,Onissan,1624669143,Vendor
i:24998:-9,?,1,1,23918,Merchant,Onissan,1624669147,Vendor
i:25389,?,1,1,7001,Merchant,Onissan,1624669148,Vendor
i:25341,?,1,1,3763,Merchant,Onissan,1624669173,Vendor
i:25405,?,1,1,14176,Merchant,Onissan,1624669174,Vendor
i:31820,?,1,1,32891,Merchant,Onissan,1624671912,Vendor
i:25221:-13,?,1,1,90572,Merchant,Onissan,1624671914,Vendor
i:25378,?,1,1,5578,Merchant,Onissan,1624671915,Vendor
i:25428,?,2,2,1325,Merchant,Onissan,1624671922,Vendor
i:25426,Brilliant Feather,10,10,1185,Merchant,Onissan,1624671927,Vendor
i:17056,Light Feather,1,1,7,Merchant,Onissan,1624671929,Vendor
i:25402,The Stoppable Force,1,1,23370,Merchant,Onissan,1624671931,Vendor
i:25150:-18,?,1,1,64360,Merchant,Onissan,1624671931,Vendor
i:25052:-44,?,1,1,33760,Merchant,Onissan,1624671932,Vendor
i:22577,Mote of Shadow,1,1,18429,Mortaníus,Alfakenybody,1624676367,Auction
i:11177,Small Radiant Shard,1,2,7125,Joseh,Alfakenybody,1624675715,Auction
i:11177,Small Radiant Shard,1,3,7125,Dragnaels,Alfakenybody,1624673958,Auction
i:11174,Lesser Nether Essence,1,3,4940,Dragnaels,Alfakenybody,1624673944,Auction
i:7910,Star Ruby,1,6,7408,Thelaziasis,Alfakenybody,1624673832,Auction
i:16202,Lesser Eternal Essence,1,13,13300,Bombeon,Alfakenybody,1624673737,Auction
i:23425,Adamantite Ore,1,6,21659,Bankofsev,Alfakenybody,1624673732,Auction
i:7078,Essence of Fire,1,12,2532,Healboi,Alfakenybody,1624673442,Auction
i:23427,Eternium Ore,1,30,31730,Huddle,Alfakenybody,1624673341,Auction
i:23427,Eternium Ore,1,46,31728,Huddle,Alfakenybody,1624673344,Auction
i:11177,Small Radiant Shard,1,11,7125,Nerbenchert,Alfakenybody,1624672796,Auction
i:22575,Mote of Life,1,11,10450,Wittlewegs,Alfakenybody,1624672364,Auction
i:22575,Mote of Life,1,12,10259,Wittlewegs,Alfakenybody,1624672361,Auction
i:7910,Star Ruby,1,27,7408,Thelaziasis,Alfakenybody,1624672347,Auction
i:7910,Star Ruby,1,15,7408,Raizan,Alfakenybody,1624672173,Auction
i:12359,Thorium Bar,1,21,7503,Kïlluä,Alfakenybody,1624671941,Auction
i:12359,Thorium Bar,1,28,7410,Kïlluä,Alfakenybody,1624671881,Auction
i:29740,Fel Armament,1,24,141550,Santrs,Alfakenybody,1624671881,Auction
